id,layer,state,state_abb,county,operator,name,sqft,lat,lon
00002744301,building,New Jersey,NJ,Middlesex County,,Verizon,105786,40.54426,-74.49652
00014930068,building,New Mexico,NM,Bernalillo County,Sandia National Laboratories,HPC,158463,35.04994,-106.54282
00015884451,building,New Jersey,NJ,Union County,Barclays,Barclays Datacenter,94373,40.64375,-74.28548
00016282459,building,Maryland,MD,Anne Arundel County,AiNET,CyberNAP Glen Burnie,89879,39.14024,-76.60643
00019390019,building,North Dakota,ND,Cass County,,Dakota Carrier Network,25931,46.8151,-96.84433
00019787207,building,Virginia,VA,Prince William County,Microsoft,Microsoft Data Center 1,248706,38.80241,-77.58238
00025706343,building,Texas,TX,Tarrant County,Cyxtera,Cyxtera Dallas-Fort Worth Data Center,309104,32.83272,-97.04104
00028544618,building,Texas,TX,Dallas County,Equinix,Equinix Infomart,239835,32.80094,-96.81951
00029827954,building,Massachusetts,MA,Middlesex County,,CoreSite BO1,133960,42.37671,-71.07976
00030666790,building,California,CA,Los Angeles County,United States Postal Service,USPO Terminal Annex,99270,34.0581,-118.23539
00030827429,building,Texas,TX,Dallas County,,DataBank,43564,32.7783,-96.79844
00031250931,building,Ohio,OH,Warren County,CyrusOne,CyrusOne Cincinnati-Mason CIN3,82813,39.3039,-84.31158
00031800424,building,California,CA,San Diego County,,LightEdge SAN1,83576,32.82787,-117.12993
00031803515,building,California,CA,San Diego County,EdgeConneX,EdgeConneX San Diego,39204,32.84231,-117.16934
00032560290,building,California,CA,Sacramento County,NTT,RagingWire CA2,204702,38.6504,-121.49195
00032560292,building,California,CA,Sacramento County,NTT,RagingWire CA1,192302,38.65043,-121.48919
00035491576,building,California,CA,Santa Clara County,Equinix,Equinix SV1,135022,37.24159,-121.78332
00036897140,building,Ohio,OH,Hamilton County,,,13074,39.29405,-84.41211
00037877544,building,California,CA,Santa Clara County,Lumen Technologies,Lumen Sunnyvale 1,77132,37.37344,-121.98781
00037947313,building,California,CA,Santa Clara County,,OpenColo,65471,37.37882,-121.95594
00037947314,building,California,CA,Santa Clara County,Equinix,Equinix Santa Clara SV2,81106,37.37843,-121.95499
00037947315,building,California,CA,Santa Clara County,Layer42,Layer42 Santa Clara,25031,37.37804,-121.95415
00038305431,building,California,CA,Santa Clara County,Digital Realty,Digital Realty Silicon Valley SJC34,129242,37.37239,-121.97362
00038305568,building,California,CA,Santa Clara County,Csquare,Csquare SFO1,92193,37.37152,-121.9697
00038305611,building,California,CA,Santa Clara County,Vantage,,89293,37.37339,-121.97269
00039083541,building,Georgia,GA,Fulton County,,Strategic Datasphere,127487,34.0948,-84.2357
00039083797,building,Georgia,GA,Fulton County,Flexential,Flexential Atlanta - Alpharetta Data Center,74814,34.08701,-84.25175
00039083830,building,Georgia,GA,Fulton County,,Secure Data Center,184012,34.09371,-84.25088
00040608200,building,California,CA,Santa Clara County,Cologix,Cologix Santa Clara SV1 Data Center,80686,37.36533,-121.9617
00042323063,building,Missouri,MO,St. Louis city,,Netrality Data Centers,23093,38.62926,-90.19717
00045448535,building,Minnesota,MN,Hennepin County,,,51180,44.99146,-93.28029
00045583050,building,Virginia,VA,Prince William County,,,52906,38.80341,-77.51058
00045776978,building,Virginia,VA,Prince William County,Amazon Web Services,Amazon IAD11,122474,38.7905,-77.54111
00045776979,building,Virginia,VA,Prince William County,Amazon Web Services,Amazon IAD24,31388,38.79035,-77.54001
00045776988,building,Virginia,VA,Prince William County,Amazon Web Services,Amazon IAD7,109423,38.7912,-77.53828
00046128119,building,Ohio,OH,Hamilton County,CyrusOne,CyrusOne CIN2,29534,39.10269,-84.5179
00046831933,building,Virginia,VA,Prince William County,Digital Realty,VA 4,263538,38.77811,-77.59488
00048242814,building,Virginia,VA,Loudoun County,Amazon Web Services,Amazon IAD10,112726,39.02165,-77.43288
00048242816,building,Virginia,VA,Loudoun County,Amazon Web Services,Amazon IAD32,35700,39.02157,-77.43479
